Sınıf ID,Sınıf Adı,Başarı Oranı (%),Doğru Tahmin,Toplam Örnek,En Sık Yapılan Hatalar (Top 5)
61,Standing Split Pose,0.00,0,33,"Handstand Pose (14), Extended Puppy Pose (5), Crane (Crow) Pose (4), Sınıf Bilinmiyor (4), Intense Side Stretch Pose (4)"
62,Standing Big-Toe Hold Pose,0.00,0,49,"Sınıf Bilinmiyor (16), Extended Puppy Pose (16), Half Lord of the Fishes Pose (6), Standing Forward Bend (5), Low Lunge Pose (2)"
63,Headstand Pose,27.85,22,79,"Handstand Pose (33), Sınıf Bilinmiyor (8), Shoulder-Pressing Pose (4), Crane (Crow) Pose (3), Scorpion Pose (2)"
64,Shoulder Stand Pose,0.00,0,65,"Boat Pose (18), Handstand Pose (10), Sınıf Bilinmiyor (8), Shoulder-Pressing Pose (7), Bridge Pose (4)"
65,Reclining Cobbler Pose,0.00,0,84,"Reclining Hand-to-Big-Toe Pose (37), Sınıf Bilinmiyor (14), Corpse Pose (10), Bound Angle Pose (6), Camel Pose (5)"
66,Reclining Hero Pose,0.00,0,77,"Reclining Hand-to-Big-Toe Pose (34), Corpse Pose (11), Camel Pose (10), Cobra Pose (8), Sınıf Bilinmiyor (5)"
67,Tortoise Pose,2.13,1,47,"Wide-Legged Forward Bend (11), Sınıf Bilinmiyor (8), Reclining Hand-to-Big-Toe Pose (5), Revolved Head-to-Knee Pose (5), Corpse Pose (3)"
68,Tree Pose,60.00,33,55,"Sınıf Bilinmiyor (17), Half Lord of the Fishes Pose (3), Crane (Crow) Pose (1), Standing Forward Bend (1)"
69,Upward Bow (Wheel) Pose,1.11,1,90,"Camel Pose (54), Handstand Pose (11), Bridge Pose (8), Bow Pose (5), Crane (Crow) Pose (3)"
70,Upward Facing Two-Foot Staff Pose,0.00,0,24,"Camel Pose (11), Bridge Pose (8), Sınıf Bilinmiyor (2), Upward Bow (Wheel) Pose (1), Bow Pose (1)"
71,Upward Plank Pose,0.00,0,53,"Cobra Pose (19), Dolphin Plank Pose (12), Camel Pose (6), Bridge Pose (5), Upward Bow (Wheel) Pose (3)"
72,Hero and Thunderbolt Pose,0.00,0,86,"Seated Forward Bend (42), Sınıf Bilinmiyor (15), Easy Sitting Pose (8), Wide-Legged Forward Bend (4), Bound Angle Pose (4)"
73,Warrior III Pose,4.65,2,43,"Extended Puppy Pose (13), Sınıf Bilinmiyor (7), Half Lord of the Fishes Pose (7), Cockerel Pose (5), Side-Reclining Leg Lift Pose (5)"
74,Warrior II Pose,0.00,0,71,"Low Lunge Pose (35), Extended Puppy Pose (17), Warrior III Pose (9), Wide-Legged Forward Bend (6), Sınıf Bilinmiyor (2)"
75,Warrior I Pose,0.00,0,41,"Low Lunge Pose (22), Extended Puppy Pose (12), Warrior III Pose (5), Sınıf Bilinmiyor (2)"
76,Wide Angle Seated Forward Bend,0.00,0,56,"Wide-Legged Forward Bend (20), Camel Pose (9), Split Pose (6), Extended Puppy Pose (5), Sınıf Bilinmiyor (4)"
77,Wide-Legged Forward Bend,3.75,3,80,"Camel Pose (55), Bow Pose (6), Sınıf Bilinmiyor (5), Handstand Pose (2), Downward-Facing Dog (2)"
78,Wild Thing Pose,4.44,2,45,"Camel Pose (14), Extended Puppy Pose (12), Sınıf Bilinmiyor (5), Bow Pose (3), Dolphin Plank Pose (3)"
79,Wind Relieving Pose,7.89,3,38,"Boat Pose (19), Reclining Hand-to-Big-Toe Pose (5), Sınıf Bilinmiyor (3), Legs-Up-the-Wall Pose (2), Revolved Head-to-Knee Pose (2)"
80,Yogic Sleep Pose,0.00,0,15,"Reclining Hand-to-Big-Toe Pose (3), Seated Forward Bend (3), Boat Pose (3), Bound Angle Pose (2), Cobra Pose (1)"
81,Reverse Warrior Pose,0.00,0,44,"Extended Puppy Pose (27), Low Lunge Pose (12), Camel Pose (2), Sınıf Bilinmiyor (2), Seated Forward Bend (1)"

GENEL,,15.01,,4725,
