Sınıf ID,Sınıf Adı,Başarı Oranı (%),Doğru Tahmin,Toplam Örnek,En Sık Yapılan Hatalar (Top 5)
50,Scale Pose,5.41,2,37,"Easy Sitting Pose (12), Bound Angle Pose (10), Frog Pose (4), Child Pose (3), Sınıf Bilinmiyor (3)"
51,Scorpion Pose,3.45,2,58,"Handstand Pose (49), Headstand Pose (4), Dolphin Plank Pose (1), Plow Pose (1), Sınıf Bilinmiyor (1)"
52,Seated Forward Bend,7.95,7,88,"Child Pose (34), Happy Baby Pose (17), Bound Angle Pose (10), Sınıf Bilinmiyor (7), Reclining Hand-to-Big-Toe Pose (4)"
53,Shoulder-Pressing Pose,0.00,0,22,"Crane (Crow) Pose (4), Frog Pose (4), Happy Baby Pose (3), Sınıf Bilinmiyor (3), Bound Angle Pose (2)"
54,Side-Reclining Leg Lift Pose,0.00,0,13,"Reclining Hand-to-Big-Toe Pose (8), Plow Pose (2), Sınıf Bilinmiyor (2), Split Pose (1)"
55,Side Crane (Crow) Pose,0.00,0,45,"Dolphin Plank Pose (19), Handstand Pose (11), Side-Reclining Leg Lift Pose (3), Plank Pose (3), Sınıf Bilinmiyor (3)"
56,Side Plank Pose,0.00,0,71,"Warrior III Pose (28), Sınıf Bilinmiyor (13), Handstand Pose (8), Side-Reclining Leg Lift Pose (7), Standing Forward Bend (7)"
57,Easy Sitting Pose,62.82,98,156,"Sınıf Bilinmiyor (27), Bound Angle Pose (20), Bharadvaja's Twist (4), Seated Forward Bend (4), Child Pose (2)"
58,Split Pose,33.73,28,83,"Wide-Legged Forward Bend (18), Sınıf Bilinmiyor (14), Bound Angle Pose (5), Extended Puppy Pose (4), Wide Angle Seated Forward Bend (3)"
59,Staff Pose,5.88,1,17,"Boat Pose (4), Bound Angle Pose (3), Sınıf Bilinmiyor (3), Wide Angle Seated Forward Bend (2), Seated Forward Bend (1)"
60,Standing Forward Bend,44.44,44,99,"Downward-Facing Dog (24), Sınıf Bilinmiyor (11), Handstand Pose (9), Plow Pose (5), Headstand Pose (5)"
61,Standing Split Pose,0.00,0,33,"Handstand Pose (24), Standing Forward Bend (6), Headstand Pose (2), Sınıf Bilinmiyor (1)"
62,Standing Big-Toe Hold Pose,0.00,0,49,"Standing Forward Bend (28), Warrior III Pose (13), Sınıf Bilinmiyor (5), Tree Pose (3)"
63,Headstand Pose,17.72,14,79,"Handstand Pose (53), Sınıf Bilinmiyor (6), Plow Pose (2), Half Lord of the Fishes Pose (1), Tree Pose (1)"
64,Shoulder Stand Pose,0.00,0,65,"Plow Pose (31), Handstand Pose (13), Sınıf Bilinmiyor (11), Legs-Up-the-Wall Pose (5), Headstand Pose (4)"
65,Reclining Cobbler Pose,0.00,0,84,"Corpse Pose (31), Reclining Hand-to-Big-Toe Pose (22), Sınıf Bilinmiyor (19), Bound Angle Pose (5), Legs-Up-the-Wall Pose (2)"
66,Reclining Hero Pose,0.00,0,77,"Corpse Pose (33), Reclining Hand-to-Big-Toe Pose (24), Sınıf Bilinmiyor (7), Child Pose (5), Bridge Pose (4)"
67,Tortoise Pose,10.64,5,47,"Happy Baby Pose (11), Sınıf Bilinmiyor (10), Child Pose (8), Reclining Hand-to-Big-Toe Pose (4), Bound Angle Pose (2)"
68,Tree Pose,85.45,47,55,"Sınıf Bilinmiyor (4), Warrior III Pose (2), Easy Sitting Pose (1), Eagle Pose (1)"
69,Upward Bow (Wheel) Pose,7.78,7,90,"Downward-Facing Dog (44), Handstand Pose (21), Sınıf Bilinmiyor (8), Standing Forward Bend (4), Headstand Pose (4)"
70,Upward Facing Two-Foot Staff Pose,0.00,0,24,"Downward-Facing Dog (12), Sınıf Bilinmiyor (5), Upward Bow (Wheel) Pose (3), Plow Pose (2), Handstand Pose (1)"
71,Upward Plank Pose,0.00,0,53,"Dolphin Plank Pose (22), Sınıf Bilinmiyor (7), Downward-Facing Dog (6), Plank Pose (4), Warrior III Pose (2)"
72,Hero and Thunderbolt Pose,0.00,0,86,"Easy Sitting Pose (26), Child Pose (19), Sınıf Bilinmiyor (15), Bound Angle Pose (10), Reclining Hand-to-Big-Toe Pose (6)"
73,Warrior III Pose,62.79,27,43,"Sınıf Bilinmiyor (7), Standing Forward Bend (7), Happy Baby Pose (1), Half Lord of the Fishes Pose (1)"
74,Warrior II Pose,0.00,0,71,"Warrior III Pose (62), Sınıf Bilinmiyor (4), Extended Puppy Pose (3), Corpse Pose (1), Split Pose (1)"
75,Warrior I Pose,0.00,0,41,"Warrior III Pose (22), Extended Puppy Pose (13), Sınıf Bilinmiyor (5), Tree Pose (1)"
76,Wide Angle Seated Forward Bend,5.36,3,56,"Split Pose (10), Sınıf Bilinmiyor (9), Wide-Legged Forward Bend (8), Reclining Hand-to-Big-Toe Pose (5), Happy Baby Pose (3)"
77,Wide-Legged Forward Bend,10.00,8,80,"Downward-Facing Dog (35), Handstand Pose (20), Sınıf Bilinmiyor (8), Headstand Pose (3), Upward Bow (Wheel) Pose (2)"
78,Wild Thing Pose,4.44,2,45,"Downward-Facing Dog (12), Warrior III Pose (8), Extended Puppy Pose (7), Handstand Pose (5), Sınıf Bilinmiyor (5)"
79,Wind Relieving Pose,15.79,6,38,"Happy Baby Pose (15), Reclining Hand-to-Big-Toe Pose (8), Sınıf Bilinmiyor (6), Plow Pose (1), Child Pose (1)"
80,Yogic Sleep Pose,0.00,0,15,"Happy Baby Pose (6), Reclining Hand-to-Big-Toe Pose (4), Sınıf Bilinmiyor (1), Easy Sitting Pose (1), Bound Angle Pose (1)"
81,Reverse Warrior Pose,0.00,0,44,"Extended Puppy Pose (23), Warrior III Pose (14), Sınıf Bilinmiyor (5), Wide-Legged Forward Bend (1), Low Lunge Pose (1)"

GENEL,,18.58,,4725,
