Sınıf ID,Sınıf Adı,Başarı Oranı (%),Doğru Tahmin,Toplam Örnek,En Sık Yapılan Hatalar (Top 5)
52,Seated Forward Bend,2.27,2,88,"Sınıf Bilinmiyor (36), Half Lord of the Fishes Pose (10), Extended Puppy Pose (9), Downward-Facing Dog (8), Plow Pose (4)"
53,Shoulder-Pressing Pose,0.00,0,22,"Sınıf Bilinmiyor (7), Half Lord of the Fishes Pose (3), Handstand Pose (3), Bow Pose (3), Extended Puppy Pose (3)"
54,Side-Reclining Leg Lift Pose,7.69,1,13,"Sınıf Bilinmiyor (4), Eagle Pose (2), Bound Angle Pose (2), Bow Pose (1), Wide-Legged Forward Bend (1)"
55,Side Crane (Crow) Pose,0.00,0,45,"Sınıf Bilinmiyor (17), Handstand Pose (7), Plank Pose (4), Heron Pose (2), Extended Puppy Pose (2)"
56,Side Plank Pose,0.00,0,71,"Sınıf Bilinmiyor (26), Plank Pose (17), Handstand Pose (6), Extended Puppy Pose (3), Downward-Facing Dog (3)"
57,Easy Sitting Pose,1.28,2,156,"Sınıf Bilinmiyor (106), Chair Pose (10), Extended Puppy Pose (7), Plow Pose (6), Half Lord of the Fishes Pose (6)"
58,Split Pose,20.48,17,83,"Sınıf Bilinmiyor (31), Bound Angle Pose (6), Plow Pose (5), Extended Puppy Pose (4), Wide-Legged Forward Bend (3)"
59,Staff Pose,0.00,0,17,"Sınıf Bilinmiyor (9), Extended Puppy Pose (3), Seated Forward Bend (1), Standing Forward Bend (1), Plow Pose (1)"
60,Standing Forward Bend,2.02,2,99,"Sınıf Bilinmiyor (45), Downward-Facing Dog (11), Extended Puppy Pose (5), Bow Pose (5), Half Lord of the Fishes Pose (5)"
61,Standing Split Pose,0.00,0,33,"Handstand Pose (13), Sınıf Bilinmiyor (11), Split Pose (4), Plow Pose (1), Standing Forward Bend (1)"
62,Standing Big-Toe Hold Pose,0.00,0,49,"Sınıf Bilinmiyor (21), Eagle Pose (7), Standing Forward Bend (5), Extended Puppy Pose (3), Warrior III Pose (3)"
63,Headstand Pose,5.06,4,79,"Handstand Pose (27), Sınıf Bilinmiyor (26), Heron Pose (4), Half Lord of the Fishes Pose (4), Upward Bow (Wheel) Pose (3)"
64,Shoulder Stand Pose,0.00,0,65,"Sınıf Bilinmiyor (32), Handstand Pose (7), Headstand Pose (4), Chair Pose (4), Extended Puppy Pose (3)"
65,Reclining Cobbler Pose,0.00,0,84,"Sınıf Bilinmiyor (45), Bound Angle Pose (7), Extended Puppy Pose (6), Chair Pose (6), Reclining Hand-to-Big-Toe Pose (4)"
66,Reclining Hero Pose,0.00,0,77,"Sınıf Bilinmiyor (40), Extended Puppy Pose (13), Bound Angle Pose (4), Half Lord of the Fishes Pose (4), Eagle Pose (4)"
67,Tortoise Pose,2.13,1,47,"Sınıf Bilinmiyor (28), Extended Puppy Pose (4), Half Lord of the Fishes Pose (3), Eagle Pose (2), Downward-Facing Dog (2)"
68,Tree Pose,1.82,1,55,"Sınıf Bilinmiyor (31), Standing Forward Bend (7), Extended Puppy Pose (3), Warrior III Pose (3), Eagle Pose (2)"
69,Upward Bow (Wheel) Pose,0.00,0,90,"Sınıf Bilinmiyor (29), Handstand Pose (11), Half Lord of the Fishes Pose (9), Downward-Facing Dog (8), Bow Pose (6)"
70,Upward Facing Two-Foot Staff Pose,0.00,0,24,"Sınıf Bilinmiyor (7), Downward-Facing Dog (5), Half Lord of the Fishes Pose (2), Handstand Pose (2), Chair Pose (1)"
71,Upward Plank Pose,0.00,0,53,"Sınıf Bilinmiyor (27), Plank Pose (6), Handstand Pose (4), Extended Puppy Pose (3), Downward-Facing Dog (3)"
72,Hero and Thunderbolt Pose,0.00,0,86,"Sınıf Bilinmiyor (56), Chair Pose (6), Half Lord of the Fishes Pose (5), Bound Angle Pose (3), Standing Forward Bend (3)"
73,Warrior III Pose,2.33,1,43,"Sınıf Bilinmiyor (22), Eagle Pose (4), Extended Puppy Pose (3), Half Lord of the Fishes Pose (2), Heron Pose (2)"
74,Warrior II Pose,0.00,0,71,"Sınıf Bilinmiyor (32), Extended Puppy Pose (7), Eagle Pose (5), Standing Forward Bend (4), Warrior III Pose (4)"
75,Warrior I Pose,0.00,0,41,"Sınıf Bilinmiyor (17), Warrior III Pose (4), Standing Forward Bend (4), Plank Pose (3), Eagle Pose (3)"
76,Wide Angle Seated Forward Bend,1.79,1,56,"Sınıf Bilinmiyor (23), Half Lord of the Fishes Pose (5), Bound Angle Pose (5), Extended Puppy Pose (4), Wide-Legged Forward Bend (3)"
77,Wide-Legged Forward Bend,6.25,5,80,"Sınıf Bilinmiyor (33), Downward-Facing Dog (10), Handstand Pose (10), Low Lunge Pose (4), Seated Forward Bend (3)"
78,Wild Thing Pose,0.00,0,45,"Sınıf Bilinmiyor (15), Low Lunge Pose (5), Half Lord of the Fishes Pose (5), Bow Pose (4), Eagle Pose (3)"
79,Wind Relieving Pose,7.89,3,38,"Sınıf Bilinmiyor (22), Bound Angle Pose (3), Plow Pose (2), Downward-Facing Dog (1), Half Lord of the Fishes Pose (1)"
80,Yogic Sleep Pose,0.00,0,15,"Sınıf Bilinmiyor (8), Plow Pose (2), Half Lord of the Fishes Pose (1), Bow Pose (1), Extended Puppy Pose (1)"
81,Reverse Warrior Pose,0.00,0,44,"Sınıf Bilinmiyor (16), Downward-Facing Dog (6), Standing Forward Bend (6), Plank Pose (3), Eagle Pose (2)"

GENEL,,3.28,,4725,
