Sınıf ID,Sınıf Adı,Başarı Oranı (%),Doğru Tahmin,Toplam Örnek,En Sık Yapılan Hatalar (Top 5)
34,Head-to-Knee Forward Bend,20.41,10,49,"Bound Angle Pose (20), Seated Forward Bend (7), Child Pose (7), Heron Pose (1), Extended Puppy Pose (1)"
35,Heron Pose,2.70,1,37,"Bound Angle Pose (14), Head-to-Knee Forward Bend (4), Seated Forward Bend (4), Sınıf Bilinmiyor (3), Standing Forward Bend (2)"
36,Intense Side Stretch Pose,2.50,1,40,"Bow Pose (15), Standing Forward Bend (7), Extended Puppy Pose (5), Sınıf Bilinmiyor (4), Bound Angle Pose (3)"
37,Legs-Up-the-Wall Pose,13.73,7,51,"Handstand Pose (17), Sınıf Bilinmiyor (9), Bridge Pose (8), Reclining Hand-to-Big-Toe Pose (3), Corpse Pose (3)"
38,Locust Pose,8.16,4,49,"Boat Pose (9), Sınıf Bilinmiyor (7), Extended Puppy Pose (3), Bow Pose (3), Plank Pose (3)"
39,Lord of the Dance Pose,0.95,1,105,"Standing Forward Bend (31), Tree Pose (24), Crane (Crow) Pose (13), Half Lord of the Fishes Pose (7), Extended Puppy Pose (6)"
40,Low Lunge Pose,24.24,16,66,"Extended Puppy Pose (27), Intense Side Stretch Pose (4), Reverse Warrior Pose (4), Camel Pose (2), Pigeon Pose (2)"
41,Noose Pose,0.00,0,10,"Bound Angle Pose (3), Camel Pose (2), Happy Baby Pose (1), Reclining Hand-to-Big-Toe Pose (1), Sınıf Bilinmiyor (1)"
42,Peacock Pose,5.00,2,40,"Dolphin Plank Pose (10), Plank Pose (10), Sınıf Bilinmiyor (6), Handstand Pose (5), Crane (Crow) Pose (3)"
43,Pigeon Pose,0.00,0,10,"Bow Pose (9), Chair Pose (1)"
44,Plank Pose,85.71,12,14,Sınıf Bilinmiyor (2)
45,Plow Pose,10.96,8,73,"Bow Pose (32), Bridge Pose (9), Handstand Pose (8), Sınıf Bilinmiyor (3), Upward Bow (Wheel) Pose (3)"
46,Sage Koundinya Pose,0.00,0,38,"Crane (Crow) Pose (10), Handstand Pose (9), Dolphin Plank Pose (5), Plank Pose (2), Intense Side Stretch Pose (2)"
47,King Pigeon Pose,0.00,0,59,"Bound Angle Pose (18), Camel Pose (13), Sınıf Bilinmiyor (7), Bow Pose (7), Seated Forward Bend (4)"
48,Reclining Hand-to-Big-Toe Pose,27.03,10,37,"Sınıf Bilinmiyor (10), Happy Baby Pose (8), Bow Pose (2), Corpse Pose (2), Bound Angle Pose (2)"
49,Revolved Head-to-Knee Pose,1.92,1,52,"Bound Angle Pose (10), Bow Pose (9), Camel Pose (7), Sınıf Bilinmiyor (6), Seated Forward Bend (4)"
50,Scale Pose,8.11,3,37,"Bound Angle Pose (14), Happy Baby Pose (8), Sınıf Bilinmiyor (4), Heron Pose (3), Crane (Crow) Pose (2)"
51,Scorpion Pose,3.45,2,58,"Handstand Pose (36), Crane (Crow) Pose (7), Bow Pose (4), Sınıf Bilinmiyor (3), Headstand Pose (2)"
52,Seated Forward Bend,12.50,11,88,"Bound Angle Pose (41), Child Pose (11), Bow Pose (7), Head-to-Knee Forward Bend (6), Happy Baby Pose (5)"
53,Shoulder-Pressing Pose,0.00,0,22,"Crane (Crow) Pose (6), Bound Angle Pose (5), Sınıf Bilinmiyor (3), Bow Pose (3), Half Lord of the Fishes Pose (2)"
54,Side-Reclining Leg Lift Pose,0.00,0,13,"Reclining Hand-to-Big-Toe Pose (7), Sınıf Bilinmiyor (5), Bound Angle Pose (1)"
55,Side Crane (Crow) Pose,0.00,0,45,"Handstand Pose (15), Crane (Crow) Pose (11), Dolphin Plank Pose (6), Sınıf Bilinmiyor (5), Bow Pose (4)"
56,Side Plank Pose,0.00,0,71,"Extended Puppy Pose (31), Side-Reclining Leg Lift Pose (9), Warrior III Pose (8), Sınıf Bilinmiyor (7), Standing Forward Bend (4)"
57,Easy Sitting Pose,18.59,29,156,"Seated Forward Bend (49), Bound Angle Pose (30), Sınıf Bilinmiyor (26), Happy Baby Pose (11), Camel Pose (2)"
58,Split Pose,33.73,28,83,"Standing Forward Bend (24), Bound Angle Pose (12), Sınıf Bilinmiyor (5), Intense Side Stretch Pose (3), Seated Forward Bend (3)"
59,Staff Pose,0.00,0,17,"Bound Angle Pose (9), Seated Forward Bend (6), Split Pose (1), Sınıf Bilinmiyor (1)"
60,Standing Forward Bend,33.33,33,99,"Bow Pose (50), Sınıf Bilinmiyor (5), Camel Pose (3), Handstand Pose (2), Downward-Facing Dog (1)"
61,Standing Split Pose,0.00,0,33,"Handstand Pose (20), Crane (Crow) Pose (4), Sınıf Bilinmiyor (3), Headstand Pose (2), Standing Forward Bend (2)"
62,Standing Big-Toe Hold Pose,0.00,0,24,"Standing Forward Bend (9), Tree Pose (5), Crane (Crow) Pose (3), Extended Puppy Pose (2), Warrior III Pose (2)"
63,Headstand Pose,8.33,3,36,"Handstand Pose (28), Sınıf Bilinmiyor (3), Shoulder-Pressing Pose (1), Peacock Pose (1)"
64,Shoulder Stand Pose,0.00,0,30,"Handstand Pose (23), Shoulder-Pressing Pose (3), Plow Pose (1), Split Pose (1), Headstand Pose (1)"
65,Reclining Cobbler Pose,0.00,0,41,"Corpse Pose (20), Sınıf Bilinmiyor (8), Bound Angle Pose (4), Happy Baby Pose (2), Reclining Hand-to-Big-Toe Pose (2)"
66,Reclining Hero Pose,0.00,0,36,"Corpse Pose (18), Sınıf Bilinmiyor (4), Bow Pose (3), Reclining Hand-to-Big-Toe Pose (2), Bridge Pose (2)"
67,Tortoise Pose,4.17,1,24,"Bound Angle Pose (10), Sınıf Bilinmiyor (6), Bow Pose (4), Happy Baby Pose (3)"
68,Tree Pose,86.21,25,29,"Crane (Crow) Pose (2), Sınıf Bilinmiyor (1), Child Pose (1)"
69,Upward Bow (Wheel) Pose,2.17,1,46,"Bow Pose (31), Handstand Pose (9), Bridge Pose (1), Camel Pose (1), Crane (Crow) Pose (1)"
70,Upward Facing Two-Foot Staff Pose,0.00,0,11,"Bow Pose (9), Upward Bow (Wheel) Pose (1), Sınıf Bilinmiyor (1)"
71,Upward Plank Pose,0.00,0,26,"Plank Pose (5), Dolphin Plank Pose (5), Camel Pose (4), Bridge Pose (4), Bow Pose (2)"
72,Hero and Thunderbolt Pose,0.00,0,44,"Seated Forward Bend (23), Heron Pose (6), Sınıf Bilinmiyor (5), Child Pose (2), Easy Sitting Pose (2)"
73,Warrior III Pose,20.00,4,20,"Extended Puppy Pose (8), Standing Forward Bend (6), Tree Pose (1), Sınıf Bilinmiyor (1)"
74,Warrior II Pose,0.00,0,32,"Warrior III Pose (20), Sınıf Bilinmiyor (4), Reverse Warrior Pose (4), Extended Puppy Pose (2), Standing Forward Bend (1)"
75,Warrior I Pose,0.00,0,22,"Extended Puppy Pose (7), Warrior III Pose (4), Reverse Warrior Pose (4), Sınıf Bilinmiyor (2), Low Lunge Pose (2)"
76,Wide Angle Seated Forward Bend,3.70,1,27,"Bound Angle Pose (12), Split Pose (7), Standing Forward Bend (3), Intense Side Stretch Pose (1), Sınıf Bilinmiyor (1)"
77,Wide-Legged Forward Bend,4.55,2,44,"Bow Pose (23), Handstand Pose (7), Sınıf Bilinmiyor (2), Eight-Angle Pose (2), Headstand Pose (1)"
78,Wild Thing Pose,4.35,1,23,"Bow Pose (12), Camel Pose (3), Extended Puppy Pose (2), Intense Side Stretch Pose (2), Reverse Warrior Pose (1)"
79,Wind Relieving Pose,5.26,1,19,"Happy Baby Pose (11), Bound Angle Pose (4), Sınıf Bilinmiyor (1), Handstand Pose (1), Reclining Hand-to-Big-Toe Pose (1)"
80,Yogic Sleep Pose,0.00,0,8,"Happy Baby Pose (5), Camel Pose (1), Peacock Pose (1), Bound Angle Pose (1)"
81,Reverse Warrior Pose,13.04,3,23,"Extended Puppy Pose (15), Standing Forward Bend (2), Camel Pose (1), Bow Pose (1), Warrior III Pose (1)"

GENEL,,16.22,,4148,
