Sınıf ID,Sınıf Adı,Başarı Oranı (%),Doğru Tahmin,Toplam Örnek,En Sık Yapılan Hatalar (Top 5)
14,Crane (Crow) Pose,0.00,0,93,"Sınıf Bilinmiyor (71), Handstand Pose (10), Plank Pose (3), Eagle Pose (3), Half Lord of the Fishes Pose (2)"
15,Dolphin Plank Pose,0.00,0,10,"Sınıf Bilinmiyor (8), Wide-Legged Forward Bend (2)"
16,Dolphin Pose,0.00,0,16,"Sınıf Bilinmiyor (10), Downward-Facing Dog (4), Bow Pose (1), Eagle Pose (1)"
17,Downward-Facing Dog,15.87,10,63,"Sınıf Bilinmiyor (44), Plow Pose (2), Bound Angle Pose (1), Standing Forward Bend (1), Wide-Legged Forward Bend (1)"
18,Eagle Pose,4.23,3,71,"Sınıf Bilinmiyor (52), Warrior III Pose (5), Handstand Pose (2), Seated Forward Bend (1), Side-Reclining Leg Lift Pose (1)"
19,Eight-Angle Pose,3.70,2,54,"Sınıf Bilinmiyor (39), Handstand Pose (5), Plank Pose (2), Chair Pose (1), Bound Angle Pose (1)"
20,Extended Puppy Pose,0.00,0,14,"Sınıf Bilinmiyor (11), Bound Angle Pose (2), Wide-Legged Forward Bend (1)"
21,Extended Side Angle Pose,0.00,0,131,"Sınıf Bilinmiyor (83), Half Lord of the Fishes Pose (6), Warrior III Pose (5), Eagle Pose (4), Handstand Pose (4)"
22,Extended Triangle Pose,0.00,0,134,"Sınıf Bilinmiyor (99), Downward-Facing Dog (4), Standing Forward Bend (4), Eagle Pose (4), Extended Puppy Pose (3)"
23,Feathered Peacock Pose,2.00,1,50,"Sınıf Bilinmiyor (36), Handstand Pose (6), Extended Puppy Pose (2), Upward Bow (Wheel) Pose (1), Half Lord of the Fishes Pose (1)"
24,Firefly Pose,0.00,0,55,"Sınıf Bilinmiyor (41), Half Lord of the Fishes Pose (4), Handstand Pose (4), Wide-Legged Forward Bend (1), Extended Puppy Pose (1)"
25,Fish Pose,5.63,4,71,"Sınıf Bilinmiyor (46), Bound Angle Pose (6), Half Lord of the Fishes Pose (3), Shoulder-Pressing Pose (2), Downward-Facing Dog (2)"
26,Four-Limbed Staff Pose,3.85,2,52,"Sınıf Bilinmiyor (42), Plank Pose (7), Handstand Pose (1)"
27,Frog Pose,0.00,0,45,"Sınıf Bilinmiyor (35), Seated Forward Bend (2), Wide-Legged Forward Bend (2), Bound Angle Pose (2), Bridge Pose (1)"
28,Garland Pose,0.00,0,59,"Sınıf Bilinmiyor (42), Wide-Legged Forward Bend (3), Plow Pose (2), Warrior III Pose (2), Bound Angle Pose (2)"
29,Gate Pose,0.00,0,29,"Sınıf Bilinmiyor (23), Standing Forward Bend (2), Plank Pose (1), Eagle Pose (1), Handstand Pose (1)"
30,Half Lord of the Fishes Pose,2.50,2,80,"Sınıf Bilinmiyor (61), Bound Angle Pose (6), Plow Pose (3), Seated Forward Bend (2), Camel Pose (2)"
31,Half Moon Pose,0.00,0,59,"Sınıf Bilinmiyor (40), Standing Forward Bend (6), Half Lord of the Fishes Pose (4), Handstand Pose (3), Eagle Pose (2)"
32,Handstand Pose,20.00,10,50,"Sınıf Bilinmiyor (39), Extended Puppy Pose (1)"
33,Happy Baby Pose,0.00,0,35,"Sınıf Bilinmiyor (22), Wide-Legged Forward Bend (4), Eagle Pose (2), Bridge Pose (2), Bound Angle Pose (1)"
34,Head-to-Knee Forward Bend,2.04,1,49,"Sınıf Bilinmiyor (35), Bound Angle Pose (4), Wide-Legged Forward Bend (3), Shoulder-Pressing Pose (2), Plow Pose (2)"
35,Heron Pose,0.00,0,37,"Sınıf Bilinmiyor (25), Half Lord of the Fishes Pose (3), Seated Forward Bend (2), Bound Angle Pose (2), Plow Pose (1)"
36,Intense Side Stretch Pose,0.00,0,40,"Sınıf Bilinmiyor (27), Plow Pose (3), Bound Angle Pose (2), Heron Pose (1), Extended Puppy Pose (1)"
37,Legs-Up-the-Wall Pose,0.00,0,51,"Sınıf Bilinmiyor (30), Bound Angle Pose (8), Extended Puppy Pose (2), Half Lord of the Fishes Pose (2), Wide-Legged Forward Bend (2)"
38,Locust Pose,0.00,0,49,"Sınıf Bilinmiyor (34), Wide-Legged Forward Bend (4), Extended Puppy Pose (3), Shoulder-Pressing Pose (2), Bridge Pose (2)"
39,Lord of the Dance Pose,0.00,0,105,"Sınıf Bilinmiyor (77), Handstand Pose (5), Standing Forward Bend (5), Warrior III Pose (4), Bridge Pose (3)"
40,Low Lunge Pose,4.55,3,66,"Sınıf Bilinmiyor (45), Plank Pose (4), Half Lord of the Fishes Pose (3), Easy Sitting Pose (2), Wide-Legged Forward Bend (1)"
41,Noose Pose,0.00,0,10,"Sınıf Bilinmiyor (6), Cockerel Pose (1), Downward-Facing Dog (1), Chair Pose (1), Wide-Legged Forward Bend (1)"
42,Peacock Pose,0.00,0,40,"Sınıf Bilinmiyor (30), Handstand Pose (9), Side-Reclining Leg Lift Pose (1)"
43,Pigeon Pose,0.00,0,10,"Sınıf Bilinmiyor (6), Eagle Pose (1), Extended Puppy Pose (1), Downward-Facing Dog (1), Seated Forward Bend (1)"
44,Plank Pose,21.43,3,14,Sınıf Bilinmiyor (11)
45,Plow Pose,2.74,2,73,"Sınıf Bilinmiyor (56), Bridge Pose (3), Bound Angle Pose (3), Reclining Hand-to-Big-Toe Pose (2), Chair Pose (1)"
46,Sage Koundinya Pose,0.00,0,38,"Sınıf Bilinmiyor (28), Handstand Pose (6), Half Lord of the Fishes Pose (2), Standing Forward Bend (1), Plank Pose (1)"
47,King Pigeon Pose,0.00,0,59,"Sınıf Bilinmiyor (42), Bound Angle Pose (4), Half Lord of the Fishes Pose (3), Easy Sitting Pose (2), Handstand Pose (2)"
48,Reclining Hand-to-Big-Toe Pose,0.00,0,37,"Sınıf Bilinmiyor (31), Bridge Pose (2), Half Lord of the Fishes Pose (1), Camel Pose (1), Wide-Legged Forward Bend (1)"
49,Revolved Head-to-Knee Pose,0.00,0,52,"Sınıf Bilinmiyor (36), Bound Angle Pose (4), Half Lord of the Fishes Pose (3), Wide-Legged Forward Bend (2), Extended Puppy Pose (2)"
50,Scale Pose,2.70,1,37,"Sınıf Bilinmiyor (29), Wide-Legged Forward Bend (2), Half Lord of the Fishes Pose (1), Plow Pose (1), Tree Pose (1)"
51,Scorpion Pose,1.72,1,58,"Sınıf Bilinmiyor (44), Handstand Pose (11), Eagle Pose (1), Bound Angle Pose (1)"
52,Seated Forward Bend,4.55,4,88,"Sınıf Bilinmiyor (61), Bound Angle Pose (10), Wide-Legged Forward Bend (5), Extended Puppy Pose (3), Half Lord of the Fishes Pose (2)"
53,Shoulder-Pressing Pose,0.00,0,22,"Sınıf Bilinmiyor (19), Handstand Pose (3)"
54,Side-Reclining Leg Lift Pose,0.00,0,13,"Sınıf Bilinmiyor (4), Extended Puppy Pose (3), Wide-Legged Forward Bend (3), Bridge Pose (2), Easy Sitting Pose (1)"
55,Side Crane (Crow) Pose,0.00,0,45,"Sınıf Bilinmiyor (33), Handstand Pose (4), Side-Reclining Leg Lift Pose (2), Chair Pose (2), Plank Pose (1)"
56,Side Plank Pose,0.00,0,71,"Sınıf Bilinmiyor (52), Plank Pose (8), Handstand Pose (3), Half Lord of the Fishes Pose (2), Pigeon Pose (1)"
57,Easy Sitting Pose,0.64,1,156,"Sınıf Bilinmiyor (124), Bound Angle Pose (8), Half Lord of the Fishes Pose (5), Wide-Legged Forward Bend (4), Extended Puppy Pose (3)"
58,Split Pose,7.23,6,83,"Sınıf Bilinmiyor (60), Bound Angle Pose (6), Half Lord of the Fishes Pose (2), Eagle Pose (1), Warrior III Pose (1)"
59,Staff Pose,0.00,0,17,"Sınıf Bilinmiyor (10), Bound Angle Pose (7)"
60,Standing Forward Bend,2.02,2,99,"Sınıf Bilinmiyor (67), Half Lord of the Fishes Pose (5), Wide-Legged Forward Bend (4), Downward-Facing Dog (3), Eagle Pose (2)"
61,Standing Split Pose,0.00,0,33,"Sınıf Bilinmiyor (22), Handstand Pose (6), Half Lord of the Fishes Pose (2), Wide-Legged Forward Bend (1), Bound Angle Pose (1)"
62,Standing Big-Toe Hold Pose,0.00,0,49,"Sınıf Bilinmiyor (35), Warrior III Pose (3), Standing Forward Bend (2), Eagle Pose (2), Upward Bow (Wheel) Pose (1)"
63,Headstand Pose,12.66,10,79,"Sınıf Bilinmiyor (52), Handstand Pose (8), Eagle Pose (3), Upward Bow (Wheel) Pose (3), Camel Pose (1)"
64,Shoulder Stand Pose,0.00,0,65,"Sınıf Bilinmiyor (41), Eagle Pose (3), Handstand Pose (3), Wide-Legged Forward Bend (3), Bound Angle Pose (2)"
65,Reclining Cobbler Pose,0.00,0,84,"Sınıf Bilinmiyor (56), Extended Puppy Pose (6), Bound Angle Pose (6), Half Lord of the Fishes Pose (4), Bridge Pose (4)"
66,Reclining Hero Pose,0.00,0,77,"Sınıf Bilinmiyor (48), Bound Angle Pose (9), Wide-Legged Forward Bend (4), Bridge Pose (3), Extended Puppy Pose (2)"
67,Tortoise Pose,0.00,0,47,"Sınıf Bilinmiyor (37), Bound Angle Pose (2), Handstand Pose (2), Wide-Legged Forward Bend (2), Downward-Facing Dog (2)"
68,Tree Pose,0.00,0,55,"Sınıf Bilinmiyor (40), Warrior III Pose (4), Half Lord of the Fishes Pose (2), Eagle Pose (2), Standing Forward Bend (1)"
69,Upward Bow (Wheel) Pose,0.00,0,90,"Sınıf Bilinmiyor (55), Handstand Pose (10), Bow Pose (6), Half Lord of the Fishes Pose (4), Low Lunge Pose (4)"
70,Upward Facing Two-Foot Staff Pose,0.00,0,24,"Sınıf Bilinmiyor (19), Wide-Legged Forward Bend (1), Extended Puppy Pose (1), Bridge Pose (1), Seated Forward Bend (1)"
71,Upward Plank Pose,0.00,0,53,"Sınıf Bilinmiyor (34), Plank Pose (6), Plow Pose (3), Bridge Pose (2), Downward-Facing Dog (2)"
72,Hero and Thunderbolt Pose,0.00,0,86,"Sınıf Bilinmiyor (63), Bound Angle Pose (5), Half Lord of the Fishes Pose (5), Plow Pose (3), Bow Pose (3)"
73,Warrior III Pose,9.30,4,43,"Sınıf Bilinmiyor (25), Wide-Legged Forward Bend (3), Half Lord of the Fishes Pose (3), Standing Forward Bend (3), Eagle Pose (2)"
74,Warrior II Pose,0.00,0,71,"Sınıf Bilinmiyor (49), Warrior III Pose (6), Plank Pose (4), Eagle Pose (3), Standing Forward Bend (3)"
75,Warrior I Pose,0.00,0,41,"Sınıf Bilinmiyor (27), Warrior III Pose (3), Camel Pose (2), Bow Pose (2), Eagle Pose (2)"
76,Wide Angle Seated Forward Bend,0.00,0,56,"Sınıf Bilinmiyor (39), Wide-Legged Forward Bend (5), Seated Forward Bend (2), Half Lord of the Fishes Pose (2), Bridge Pose (1)"
77,Wide-Legged Forward Bend,3.75,3,80,"Sınıf Bilinmiyor (49), Handstand Pose (3), Bow Pose (3), Seated Forward Bend (3), Eagle Pose (3)"
78,Wild Thing Pose,0.00,0,45,"Sınıf Bilinmiyor (31), Bound Angle Pose (2), Low Lunge Pose (2), Handstand Pose (2), Seated Forward Bend (1)"
79,Wind Relieving Pose,0.00,0,38,"Sınıf Bilinmiyor (27), Wide-Legged Forward Bend (4), Bound Angle Pose (2), Downward-Facing Dog (1), Half Lord of the Fishes Pose (1)"
80,Yogic Sleep Pose,0.00,0,15,"Sınıf Bilinmiyor (10), Wide-Legged Forward Bend (2), Bound Angle Pose (2), Easy Sitting Pose (1)"
81,Reverse Warrior Pose,0.00,0,44,"Sınıf Bilinmiyor (25), Wide-Legged Forward Bend (3), Eagle Pose (3), Handstand Pose (2), Plank Pose (2)"

GENEL,,2.16,,4725,
